treatment,projection,file,amp,spike_frequency
control,nonspecific,controlbla007_5_6_21.adicht,70,8.0
control,nonspecific,controlbla007_5_6_21.adicht,80,10.0
control,nonspecific,controlbla007_5_6_21.adicht,90,12.0
control,nonspecific,controlbla007_5_6_21.adicht,100,16.0
control,nonspecific,controlbla007_5_6_21.adicht,110,26.0
control,nonspecific,controlbla007_5_6_21.adicht,120,60.0
control,nonspecific,controlbla007_5_6_21.adicht,130,44.0
control,nonspecific,controlbla007_5_6_21.adicht,140,68.0
control,nonspecific,controlbla007_5_6_21.adicht,150,86.0
control,nonspecific,controlbla008_5_6_21.adicht,10,0.0
control,nonspecific,controlbla008_5_6_21.adicht,20,0.0
control,nonspecific,controlbla008_5_6_21.adicht,30,0.0
control,nonspecific,controlbla008_5_6_21.adicht,40,0.0
control,nonspecific,controlbla008_5_6_21.adicht,50,4.0
control,nonspecific,controlbla008_5_6_21.adicht,60,2.0
control,nonspecific,controlbla008_5_6_21.adicht,70,4.0
control,nonspecific,controlbla008_5_6_21.adicht,80,8.0
control,nonspecific,controlbla008_5_6_21.adicht,90,10.0
control,nonspecific,controlbla008_5_6_21.adicht,100,16.0
control,nonspecific,controlbla008_5_6_21.adicht,110,14.0
control,nonspecific,controlbla008_5_6_21.adicht,120,18.0
control,nonspecific,controlbla008_5_6_21.adicht,130,20.0
control,nonspecific,controlbla008_5_6_21.adicht,140,20.0
control,nonspecific,controlbla008_5_6_21.adicht,150,22.0
control,nonspecific,controlbla009_5_6_21.adicht,10,0.0
control,nonspecific,controlbla009_5_6_21.adicht,20,0.0
control,nonspecific,controlbla009_5_6_21.adicht,30,0.0
control,nonspecific,controlbla009_5_6_21.adicht,40,2.0
control,nonspecific,controlbla009_5_6_21.adicht,50,6.0
control,nonspecific,controlbla009_5_6_21.adicht,60,12.0
control,nonspecific,controlbla009_5_6_21.adicht,70,16.0
control,nonspecific,controlbla009_5_6_21.adicht,80,20.0
control,nonspecific,controlbla009_5_6_21.adicht,90,22.0
control,nonspecific,controlbla009_5_6_21.adicht,100,24.0
control,nonspecific,controlbla009_5_6_21.adicht,110,26.0
control,nonspecific,controlbla009_5_6_21.adicht,120,24.0
control,nonspecific,controlbla009_5_6_21.adicht,130,12.0
control,nonspecific,controlbla009_5_6_21.adicht,140,6.0
control,nonspecific,controlbla009_5_6_21.adicht,150,4.0
control,nonspecific,controlbla010_5_6_21.adicht,10,0.0
control,nonspecific,controlbla010_5_6_21.adicht,20,0.0
control,nonspecific,controlbla010_5_6_21.adicht,30,0.0
control,nonspecific,controlbla010_5_6_21.adicht,40,0.0
control,nonspecific,controlbla010_5_6_21.adicht,50,0.0
control,nonspecific,controlbla010_5_6_21.adicht,60,12.0
control,nonspecific,controlbla010_5_6_21.adicht,70,20.0
control,nonspecific,controlbla010_5_6_21.adicht,80,22.0
control,nonspecific,controlbla010_5_6_21.adicht,90,28.0
control,nonspecific,controlbla010_5_6_21.adicht,100,32.0
control,nonspecific,controlbla010_5_6_21.adicht,110,34.0
control,nonspecific,controlbla010_5_6_21.adicht,120,36.0
control,nonspecific,controlbla010_5_6_21.adicht,130,38.0
control,nonspecific,controlbla010_5_6_21.adicht,140,40.0
control,nonspecific,controlbla010_5_6_21.adicht,150,42.0
control,nonspecific,controlbla011_5_6_21.adicht,10,0.0
control,nonspecific,controlbla011_5_6_21.adicht,20,0.0
control,nonspecific,controlbla011_5_6_21.adicht,30,10.0
control,nonspecific,controlbla011_5_6_21.adicht,40,14.0
control,nonspecific,controlbla011_5_6_21.adicht,50,22.0
control,nonspecific,controlbla011_5_6_21.adicht,60,26.0
control,nonspecific,controlbla011_5_6_21.adicht,70,28.0
control,nonspecific,controlbla011_5_6_21.adicht,80,32.0
control,nonspecific,controlbla011_5_6_21.adicht,90,32.0
control,nonspecific,controlbla011_5_6_21.adicht,100,36.0
control,nonspecific,controlbla011_5_6_21.adicht,110,36.0
control,nonspecific,controlbla011_5_6_21.adicht,120,38.0
control,nonspecific,controlbla011_5_6_21.adicht,130,40.0
control,nonspecific,controlbla011_5_6_21.adicht,140,42.0
control,nonspecific,controlbla011_5_6_21.adicht,150,44.0
control,nonspecific,controlbla012_5_6_21.adicht,10,0.0
control,nonspecific,controlbla012_5_6_21.adicht,20,0.0
control,nonspecific,controlbla012_5_6_21.adicht,30,0.0
control,nonspecific,controlbla012_5_6_21.adicht,40,0.0
control,nonspecific,controlbla012_5_6_21.adicht,50,6.0
control,nonspecific,controlbla012_5_6_21.adicht,60,14.0
control,nonspecific,controlbla012_5_6_21.adicht,70,16.0
control,nonspecific,controlbla012_5_6_21.adicht,80,22.0
control,nonspecific,controlbla012_5_6_21.adicht,90,22.0
control,nonspecific,controlbla012_5_6_21.adicht,100,24.0
control,nonspecific,controlbla012_5_6_21.adicht,110,26.0
control,nonspecific,controlbla012_5_6_21.adicht,120,28.0
control,nonspecific,controlbla012_5_6_21.adicht,130,30.0
control,nonspecific,controlbla012_5_6_21.adicht,140,32.0
control,nonspecific,controlbla012_5_6_21.adicht,150,34.0
control,nonspecific,controlbla013_5_6_21.adicht,10,0.0
control,nonspecific,controlbla013_5_6_21.adicht,20,0.0
control,nonspecific,controlbla013_5_6_21.adicht,30,0.0
control,nonspecific,controlbla013_5_6_21.adicht,40,6.0
control,nonspecific,controlbla013_5_6_21.adicht,50,14.0
control,nonspecific,controlbla013_5_6_21.adicht,60,18.0
control,nonspecific,controlbla013_5_6_21.adicht,70,26.0
control,nonspecific,controlbla013_5_6_21.adicht,80,28.0
control,nonspecific,controlbla013_5_6_21.adicht,90,32.0
control,nonspecific,controlbla013_5_6_21.adicht,100,36.0
control,nonspecific,controlbla013_5_6_21.adicht,110,36.0
control,nonspecific,controlbla013_5_6_21.adicht,120,38.0
control,nonspecific,controlbla013_5_6_21.adicht,130,42.0
control,nonspecific,controlbla013_5_6_21.adicht,140,36.0
control,nonspecific,controlbla013_5_6_21.adicht,150,22.0
control,nonspecific,controlbla014_5_6_21.adicht,10,0.0
control,nonspecific,controlbla014_5_6_21.adicht,20,0.0
control,nonspecific,controlbla014_5_6_21.adicht,30,0.0
control,nonspecific,controlbla014_5_6_21.adicht,40,0.0
control,nonspecific,controlbla014_5_6_21.adicht,50,6.0
control,nonspecific,controlbla014_5_6_21.adicht,60,12.0
control,nonspecific,controlbla014_5_6_21.adicht,70,18.0
control,nonspecific,controlbla014_5_6_21.adicht,80,22.0
control,nonspecific,controlbla014_5_6_21.adicht,90,26.0
control,nonspecific,controlbla014_5_6_21.adicht,100,28.0
control,nonspecific,controlbla014_5_6_21.adicht,110,30.0
control,nonspecific,controlbla014_5_6_21.adicht,120,32.0
control,nonspecific,controlbla014_5_6_21.adicht,130,32.0
control,nonspecific,controlbla014_5_6_21.adicht,140,34.0
control,nonspecific,controlbla014_5_6_21.adicht,150,36.0
control,nonspecific,controlbla015_5_17_21.adicht,10,0.0
control,nonspecific,controlbla015_5_17_21.adicht,20,0.0
control,nonspecific,controlbla015_5_17_21.adicht,30,0.0
control,nonspecific,controlbla015_5_17_21.adicht,40,0.0
control,nonspecific,controlbla015_5_17_21.adicht,50,0.0
control,nonspecific,controlbla015_5_17_21.adicht,60,0.0
control,nonspecific,controlbla015_5_17_21.adicht,70,0.0
control,nonspecific,controlbla015_5_17_21.adicht,80,4.0
control,nonspecific,controlbla015_5_17_21.adicht,90,8.0
control,nonspecific,controlbla015_5_17_21.adicht,100,10.0
control,nonspecific,controlbla015_5_17_21.adicht,110,14.0
control,nonspecific,controlbla015_5_17_21.adicht,120,16.0
control,nonspecific,controlbla015_5_17_21.adicht,130,20.0
control,nonspecific,controlbla015_5_17_21.adicht,140,22.0
control,nonspecific,controlbla015_5_17_21.adicht,150,26.0
control,nonspecific,controlbla017_5_27_21.adicht,10,0.0
control,nonspecific,controlbla017_5_27_21.adicht,20,0.0
control,nonspecific,controlbla017_5_27_21.adicht,30,0.0
control,nonspecific,controlbla017_5_27_21.adicht,40,0.0
control,nonspecific,controlbla017_5_27_21.adicht,50,0.0
control,nonspecific,controlbla017_5_27_21.adicht,60,2.0
control,nonspecific,controlbla017_5_27_21.adicht,70,8.0
control,nonspecific,controlbla017_5_27_21.adicht,80,14.0
control,nonspecific,controlbla017_5_27_21.adicht,90,22.0
control,nonspecific,controlbla017_5_27_21.adicht,100,32.0
control,nonspecific,controlbla017_5_27_21.adicht,110,36.0
control,nonspecific,controlbla017_5_27_21.adicht,120,40.0
control,nonspecific,controlbla017_5_27_21.adicht,130,44.0
control,nonspecific,controlbla017_5_27_21.adicht,140,18.0
control,nonspecific,controlbla017_5_27_21.adicht,150,14.0
control,nonspecific,controlbla018_5_27_21.adicht,10,0.0
control,nonspecific,controlbla018_5_27_21.adicht,20,0.0
control,nonspecific,controlbla018_5_27_21.adicht,30,0.0
control,nonspecific,controlbla018_5_27_21.adicht,40,2.0
control,nonspecific,controlbla018_5_27_21.adicht,50,6.0
control,nonspecific,controlbla018_5_27_21.adicht,60,10.0
control,nonspecific,controlbla018_5_27_21.adicht,70,12.0
control,nonspecific,controlbla018_5_27_21.adicht,80,14.0
control,nonspecific,controlbla018_5_27_21.adicht,90,8.0
control,nonspecific,controlbla018_5_27_21.adicht,100,6.0
control,nonspecific,controlbla018_5_27_21.adicht,110,6.0
control,nonspecific,controlbla018_5_27_21.adicht,120,6.0
control,nonspecific,controlbla018_5_27_21.adicht,130,4.0
control,nonspecific,controlbla018_5_27_21.adicht,140,4.0
control,nonspecific,controlbla018_5_27_21.adicht,150,4.0
control,nonspecific,controlbla020_5_27_21.adicht,10,0.0
control,nonspecific,controlbla020_5_27_21.adicht,20,2.0
control,nonspecific,controlbla020_5_27_21.adicht,30,6.0
control,nonspecific,controlbla020_5_27_21.adicht,40,12.0
control,nonspecific,controlbla020_5_27_21.adicht,50,16.0
control,nonspecific,controlbla020_5_27_21.adicht,60,20.0
control,nonspecific,controlbla020_5_27_21.adicht,70,24.0
control,nonspecific,controlbla020_5_27_21.adicht,80,26.0
control,nonspecific,controlbla020_5_27_21.adicht,90,30.0
control,nonspecific,controlbla020_5_27_21.adicht,100,32.0
control,nonspecific,controlbla020_5_27_21.adicht,110,34.0
control,nonspecific,controlbla020_5_27_21.adicht,120,36.0
control,nonspecific,controlbla020_5_27_21.adicht,130,36.0
control,nonspecific,controlbla020_5_27_21.adicht,140,38.0
control,nonspecific,controlbla020_5_27_21.adicht,150,38.0
control,nonspecific,controlbla021_5_27_21.adicht,10,0.0
control,nonspecific,controlbla021_5_27_21.adicht,20,0.0
control,nonspecific,controlbla021_5_27_21.adicht,30,0.0
control,nonspecific,controlbla021_5_27_21.adicht,40,0.0
control,nonspecific,controlbla021_5_27_21.adicht,50,4.0
control,nonspecific,controlbla021_5_27_21.adicht,60,8.0
control,nonspecific,controlbla021_5_27_21.adicht,70,12.0
control,nonspecific,controlbla021_5_27_21.adicht,80,18.0
control,nonspecific,controlbla021_5_27_21.adicht,90,18.0
control,nonspecific,controlbla021_5_27_21.adicht,100,22.0
control,nonspecific,controlbla021_5_27_21.adicht,110,28.0
control,nonspecific,controlbla021_5_27_21.adicht,120,32.0
control,nonspecific,controlbla021_5_27_21.adicht,130,34.0
control,nonspecific,controlbla021_5_27_21.adicht,140,34.0
control,nonspecific,controlbla021_5_27_21.adicht,150,36.0
control,nonspecific,controlblapv001_4_26_21.adicht,10,0.0
control,nonspecific,controlblapv001_4_26_21.adicht,20,0.0
control,nonspecific,controlblapv001_4_26_21.adicht,30,0.0
control,nonspecific,controlblapv001_4_26_21.adicht,40,8.0
control,nonspecific,controlblapv001_4_26_21.adicht,50,18.0
control,nonspecific,controlblapv001_4_26_21.adicht,60,24.0
control,nonspecific,controlblapv001_4_26_21.adicht,70,28.0
control,nonspecific,controlblapv001_4_26_21.adicht,80,32.0
control,nonspecific,controlblapv001_4_26_21.adicht,90,34.0
control,nonspecific,controlblapv001_4_26_21.adicht,100,38.0
control,nonspecific,controlblapv001_4_26_21.adicht,110,42.0
control,nonspecific,controlblapv001_4_26_21.adicht,120,44.0
control,nonspecific,controlblapv001_4_26_21.adicht,130,46.0
control,nonspecific,controlblapv001_4_26_21.adicht,140,48.0
control,nonspecific,controlblapv001_4_26_21.adicht,150,50.0
control,nonspecific,controlblapv002_4_26_21.adicht,10,0.0
control,nonspecific,controlblapv002_4_26_21.adicht,20,0.0
control,nonspecific,controlblapv002_4_26_21.adicht,30,0.0
control,nonspecific,controlblapv002_4_26_21.adicht,40,0.0
control,nonspecific,controlblapv002_4_26_21.adicht,50,14.0
control,nonspecific,controlblapv002_4_26_21.adicht,60,26.0
control,nonspecific,controlblapv002_4_26_21.adicht,70,36.0
control,nonspecific,controlblapv002_4_26_21.adicht,80,44.0
control,nonspecific,controlblapv002_4_26_21.adicht,90,54.0
control,nonspecific,controlblapv002_4_26_21.adicht,100,60.0
control,nonspecific,controlblapv002_4_26_21.adicht,110,66.0
control,nonspecific,controlblapv002_4_26_21.adicht,120,66.0
control,nonspecific,controlblapv002_4_26_21.adicht,130,34.0
control,nonspecific,controlblapv002_4_26_21.adicht,140,12.0
control,nonspecific,controlblapv002_4_26_21.adicht,150,8.0
control,nonspecific,controlblapv003_4_26_21.adicht,10,0.0
control,nonspecific,controlblapv003_4_26_21.adicht,20,0.0
control,nonspecific,controlblapv003_4_26_21.adicht,30,0.0
control,nonspecific,controlblapv003_4_26_21.adicht,40,2.0
control,nonspecific,controlblapv003_4_26_21.adicht,50,16.0
control,nonspecific,controlblapv003_4_26_21.adicht,60,22.0
control,nonspecific,controlblapv003_4_26_21.adicht,70,28.0
control,nonspecific,controlblapv003_4_26_21.adicht,80,34.0
control,nonspecific,controlblapv003_4_26_21.adicht,90,38.0
control,nonspecific,controlblapv003_4_26_21.adicht,100,40.0
control,nonspecific,controlblapv003_4_26_21.adicht,110,46.0
control,nonspecific,controlblapv003_4_26_21.adicht,120,50.0
control,nonspecific,controlblapv003_4_26_21.adicht,130,56.0
control,nonspecific,controlblapv003_4_26_21.adicht,140,58.0
control,nonspecific,controlblapv003_4_26_21.adicht,150,60.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,30,2.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,40,8.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,50,10.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,60,14.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,70,18.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,80,22.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,90,12.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,100,10.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,110,10.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,120,8.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,130,8.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,140,6.0
cus,bnst,fgbnst-cus-bla001_7_6_21.adicht,150,6.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,20,16.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,30,26.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,40,30.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,50,34.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,60,22.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,70,6.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,80,4.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,90,4.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,100,4.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,110,2.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,120,2.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,130,2.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,140,2.0
cus,bnst,fgbnst-cus-bla002_7_6_21.adicht,150,2.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,30,0.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,40,0.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,50,0.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,60,8.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,70,16.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,80,22.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,90,28.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,100,34.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,110,38.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,120,42.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,130,44.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,140,46.0
cus,bnst,fgbnst-cus-bla003_7_6_21.adicht,150,50.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,30,0.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,40,12.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,50,20.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,60,26.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,70,32.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,80,36.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,90,34.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,100,34.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,110,30.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,120,24.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,130,14.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,140,4.0
cus,bnst,fgbnst-cus-bla004_7_6_21.adicht,150,4.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,30,0.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,40,0.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,50,8.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,60,16.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,70,24.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,80,32.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,90,38.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,100,42.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,110,46.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,120,50.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,130,52.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,140,54.0
cus,bnst,fgbnst-cus-bla005_7_6_21.adicht,150,56.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,30,0.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,40,0.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,50,6.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,60,12.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,70,16.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,80,20.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,90,22.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,100,24.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,110,26.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,120,28.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,130,30.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,140,32.0
cus,bnst,fgbnst-cus-bla006_7_9_21.adicht,150,32.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,30,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,40,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,50,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,60,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,70,0.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,80,18.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,90,24.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,100,30.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,110,32.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,120,34.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,130,36.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,140,38.0
cus,bnst,fgbnst-cus-bla007_7_9_21.adicht,150,38.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,10,0.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,20,0.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,30,0.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,40,6.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,50,10.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,60,14.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,70,18.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,80,20.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,90,24.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,100,26.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,110,30.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,120,32.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,130,34.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,140,26.0
cus,bnst,fgbnst-cus-bla008_7_9_21.adicht,150,26.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,10,6.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,20,12.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,30,16.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,40,20.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,50,24.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,60,28.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,70,30.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,80,34.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,90,34.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,100,36.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,110,36.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,120,38.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,130,30.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,140,14.0
cus,bnst,fgbnst-cus-bla010_7_9_21.adicht,150,6.0
cus,nacc,fgnacc-cus-bla001_6_29_21.adicht,10,0.0
