cell_id,projection,treatment,ahp,ap_peak,fr_at_20_percent_input,fr_at_40_percent_input,fr_at_60_percent_input,fr_at_max_input,half_width,i_amp_at_half_max_fr,input_resistance,io_slope,max_firing_rate,peak_to_trough,resting_membrane_potential,rheobase,rise_time,threshold
controlbla010_5_6_21.adicht,nonspecific,control,7.279334926796835,92.13462302679301,0.0,12.0,28.0,42.0,8.9,70.0,470.3125,0.3595238095238096,42.0,15.100000000000001,-69.0,60.0,7.2,-32.23282037714059
controlbla011_5_6_21.adicht,nonspecific,control,29.49264593977895,83.7326963953781,10.0,26.0,32.0,44.0,8.1,50.0,817.96875,0.2836363636363635,44.0,12.700000000000001,-64.0,30.0,7.6000000000000005,-28.939980737855084
controlbla012_5_6_21.adicht,nonspecific,control,2.277926758659305,85.90957324134078,0.0,14.0,22.0,34.0,7.7,70.0,335.15625,0.2545454545454546,34.0,19.0,-71.0,50.0,7.2,-35.128323241340695
controlbla013_5_6_21.adicht,nonspecific,control,17.479034448054712,86.18749999999957,0.0,18.0,32.0,22.0,7.4,150.0,646.09375,0.39333333333333337,42.0,13.5,-68.9,40.0,7.0,-31.99999999999966
controlbla014_5_6_21.adicht,nonspecific,control,28.25553933267527,80.77055771565607,0.0,12.0,26.0,36.0,8.200000000000001,70.0,385.15625,0.2957575757575758,36.0,12.3,-64.0,50.0,7.7,-28.239307715656082
controlbla015_5_17_21.adicht,nonspecific,control,10.120762803090887,90.36310086155517,0.0,0.0,8.0,26.0,6.6000000000000005,110.0,273.828125,0.3047619047619049,26.0,15.100000000000001,-68.0,80.0,4.6000000000000005,-31.379237196909113
controlbla016_5_17_21.adicht,nonspecific,control,,,,,,,,,126.5625,,,,-66.0,,,
controlbla017_5_27_21.adicht,nonspecific,control,30.12183588159451,44.49999999999966,0.0,2.0,22.0,14.0,6.7,90.0,432.8125,0.6714285714285709,44.0,12.4,-66.5,60.0,6.0,-24.124999999999662
controlbla018_5_27_21.adicht,nonspecific,control,15.704876841473038,55.5610340463758,0.0,10.0,8.0,4.0,13.8,50.0,761.71875,0.30000000000000004,14.0,19.900000000000002,-65.0,40.0,10.600000000000001,-19.667190197104
controlbla020_5_27_21.adicht,nonspecific,control,24.639812521542815,79.65302078294307,6.0,20.0,30.0,38.0,8.200000000000001,60.0,806.25,0.34181818181818174,38.0,13.5,-67.0,20.0,6.6000000000000005,-30.434270782943116
